road,count
南投縣埔里鎮中正路,551
南投縣草屯鎮中正路,537
南投縣南投市中興路,488
南投縣仁愛鄉台14甲線,477
南投縣南投市彰南路二段,376
南投縣名間鄉彰南路,360
南投縣南投市復興路,318
南投縣南投市南陽路,312
南投縣南投市彰南路三段,303
南投縣埔里鎮中山路三段,299
南投縣南投市南崗二路,295
南投縣南投市彰南路一段,286
南投縣南投市南崗三路,267
南投縣草屯鎮富寮里中正路,261
南投縣南投市民族路,256
南投縣埔里鎮中山路一段,244
南投縣竹山鎮集山路三段,221
南投縣草屯鎮御史里中正路,198
南投縣埔里鎮中山路二段,196
南投縣南投市中正路,196
南投縣魚池鄉台21線,188
南投縣南投市三和三路,182
南投縣水里,178
南投縣南投市大庄路,165
南投縣南投市成功三路,165
南投縣南投市南崗一路,163
南投縣名間鄉,160
南投縣草屯鎮碧山路,159
南投縣草屯鎮明正里中正路,156
南投縣草屯鎮上林里草溪路,156
南投縣南投市八卦路,156
南投縣埔里鎮西安路一段,153
南投縣草屯鎮山腳里虎山路,153
南投縣埔里鎮信義路,152
南投縣南投市中華路,142
南投縣南投市華陽路,136
南投縣草屯鎮南埔里中正路,135
南投縣草屯鎮碧峰里碧山路,129
南投縣仁愛鄉台14,128
南投縣草屯鎮虎山路,127
南投縣南投市文化路,126
南投縣南投市中山街,125
南投縣埔里鎮南安路,124
南投縣仁愛鄉台14線,117
南投縣埔里鎮中華路,115
南投縣草屯鎮草溪路,115
南投縣南投市東閔路,112
南投縣草屯鎮玉峰里中正路,112
南投縣南投市祖祠路,111
南投縣名間鄉員集路,109
南投縣草屯鎮敦和里敦和路,104
南投縣名間鄉南田路,102
南投縣草屯鎮復興里碧山路,100
南投縣魚池鄉台21,95
南投縣草屯鎮太平路二段,93
南投縣草屯鎮上林里太平路一段,92
南投縣南投市三和二路,92
南投縣名間鄉名松路二段,92
南投縣草屯鎮博愛路,91
南投縣埔里鎮北環路,90
南投縣草屯鎮中山里草溪路,89
南投縣草屯鎮新豐里中正路,88
南投縣南投市仁和路,87
南投縣南投市內興里中興路,87
南投縣草屯鎮山腳里太平路一段,85
南投縣草屯鎮炎峰里中正路,85
南投縣埔里鎮南興街,84
南投縣草屯鎮和平里太平路二段,82
南投縣草屯鎮新厝里虎山路,80
南投縣埔里鎮中山路四段,79
南投縣竹山鎮大明路,79
南投縣草屯鎮成功路一段,78
南投縣信義鄉台21,78
南投縣集集鎮台16,77
南投縣草屯鎮新厝里太平路二段,77
南投縣草屯鎮御史里玉屏路,77
南投縣草屯鎮敦和里碧山路,76
南投縣草屯鎮敦和里碧山南路,76
南投縣草屯鎮太平路一段,75
南投縣仁愛鄉南豐村中正路,75
南投縣埔里鎮南環路,73
南投縣埔里鎮台21線,73
南投縣埔里鎮大城路,73
南投縣埔里鎮南昌街,72
南投縣草屯鎮敦和里仁愛街,72
南投縣草屯鎮中山里太平路二段,70
南投縣集集鎮台16線,70
南投縣草屯鎮新豐里新豐路,70
南投縣魚池鄉魚池街,70
南投縣埔里鎮台14線,70
南投縣草屯鎮明正里芬草路一段,69
南投縣草屯鎮御史里御富路,68
南投縣草屯鎮加老里芬草路三段,68
南投縣埔里鎮東榮路,67
南投縣草屯鎮敦和里博愛路,67
南投縣埔里鎮大城里中山路三段,67
南投縣草屯鎮新庄里芬草路二段,66
南投縣埔里鎮忠孝路,66
南投縣南投市*彰南路1段,66
南投縣埔里鎮和平東路,65
南投縣南投市南鄉路,65
南投縣草屯鎮玉屏路,65
南投縣南投市同源路,65
南投縣南投市芳美路,64
南投縣南投市大同街,64
南投縣南投市信義街,64
南投縣埔里鎮隆生路,64
南投縣草屯鎮中山街,63
南投縣南投市彰南路1段,63
南投縣竹山鎮集山路一段,61
南投縣南投市順溪南路,61
南投縣草屯鎮新豐里稻香路,61
南投縣竹山鎮??里鯉南路,61
南投縣南投市嶺興路,59
南投縣竹山鎮集山路二段,59
南投縣南投市集賢路,58
南投縣南投市育樂路,57
南投縣竹山鎮鯉南路,57
南投縣名間鄉名松路一段,56
南投縣南投市省府路,55
南投縣竹山鎮延和里集山路三段,52
南投縣草屯鎮明正里博愛路,51
南投縣竹山鎮,51
南投縣南投市民權街,51
南投縣草屯鎮中山里中山街,50
南投縣埔里鎮仁愛路,50
南投縣南投市建國路,49
南投縣埔里鎮鐵山路,49
南投縣草屯鎮敦和里成功路一段,48
南投縣草屯鎮新豐路,48
