road,count
基隆市中正區中正路,617
基隆市安樂區麥金路,470
基隆市安樂區基金一路,468
基隆市仁愛區南榮路,465
基隆市中正區北寧路,426
基隆市仁愛區仁一路,407
基隆市七堵區明德一路,379
基隆市暖暖區源遠路,355
基隆市暖暖區八堵路,353
基隆市安樂區安一路,325
基隆市信義區信一路,304
基隆市中山區復興路,295
基隆市中山區西定路,294
基隆市信義區東信路,287
基隆市仁愛區仁二路,278
基隆市七堵區明德二路,230
基隆市安樂區安樂路二段,225
基隆市仁愛區成功一路,219
基隆市信義區深澳坑路,204
基隆市仁愛區愛三路,188
基隆市中山區中山二路,185
基隆市中正區新豐街,184
基隆市中山區中山一路,178
基隆市安樂區安樂路一段,177
基隆市信義區深溪路,173
基隆市信義區東明路,172
基隆市七堵區光明路,169
基隆市中山區文化路,160
基隆市中正區義一路,157
基隆市中山區中和路,149
基隆市仁愛區港西街,148
基隆市中正區祥豐街,137
基隆市信義區信二路,135
基隆市仁愛區愛一路,131
基隆市仁愛區仁五路,129
基隆市中山區中華路,127
基隆市仁愛區忠一路,127
基隆市信義區培德路,127
基隆市七堵區八德路,124
基隆市七堵區實踐路,123
基隆市暖暖區過港路,117
基隆市安樂區基金三路,105
基隆市七堵區國道1號,93
基隆市中山區安一路,92
基隆市暖暖區東勢街,87
基隆市仁愛區孝二路,86
基隆市信義區仁一路,85
基隆市七堵區新台五路,84
基隆市中正區信一路,76
基隆市暖暖區暖暖街,76
基隆市七堵區俊賢路,72
基隆市暖暖區水源路,71
基隆市七堵區明德三路,68
基隆市信義區孝東路,67
基隆市信義區正信路,63
基隆市中正區義二路,63
基隆市安樂區基金二路,62
基隆市仁愛區仁四路,60
基隆市安樂區樂利三街,59
基隆市中正區中船路,54
基隆市七堵區福五街,53
基隆市七堵區堵南街,52
基隆市七堵區工建路,51
基隆市中山區成功二路,51
基隆市七堵區東新街,47
基隆市仁愛區愛二路,44
基隆市仁愛區忠三路,44
基隆市仁愛區忠四路,42
基隆市信義區東光路,41
基隆市七堵區工建西路,39
基隆市信義區深美街,38
基隆市信義區崇法街,38
基隆市七堵區永富路,37
基隆市安樂區北濱公路,36
基隆市七堵區百三街,36
基隆市仁愛區龍安街,36
基隆市仁愛區仁三路,33
基隆市七堵區福二街,33
基隆市七堵區大華一路,33
基隆市七堵區台62線,33
基隆市中正區調和街,32
基隆市中正區信二路,32
基隆市安樂區安和一街,30
基隆市信義區壽山路,29
基隆市安樂區湖海路,29
基隆市七堵區八堵路,29
基隆市暖暖區碇內街,28
基隆市七堵區華新一路,28
基隆市安樂區武嶺街,28
基隆市中正區豐稔街,28
基隆市仁愛區孝三路,28
基隆市暖暖區東碇路,28
基隆市七堵區自治街,27
基隆市七堵區百六街,27
基隆市中正區和一路,27
基隆市安樂區武訓街,27
基隆市中正區新豐街303巷,26
基隆市七堵區百一街,26
基隆市仁愛區孝一路,25
基隆市中正區正豐街,23
基隆市中正區正濱路,22
基隆市仁愛區獅球路,22
基隆市信義區月眉路,22
基隆市暖暖區尚仁街,22
基隆市安樂區武隆街,22
基隆市中山區湖海路,21
基隆市信義區義七路,21
基隆市七堵區長安街,21
基隆市七堵區崇智街,21
基隆市七堵區百五街,21
基隆市七堵區福一街,20
基隆市仁愛區南新街,20
基隆市七堵區國道3號,20
基隆市中正區信三路,20
基隆市安樂區崇德路,20
基隆市仁愛區公園街,20
基隆市安樂區安和一街2巷,19
基隆市七堵區大華二路,19
