road,count
宜蘭縣宜蘭市東港路,523
宜蘭縣羅東鎮公正路,429
宜蘭縣宜蘭市泰山路,379
宜蘭縣宜蘭市中山路一段,374
宜蘭縣冬山鄉廣興路,359
宜蘭縣宜蘭市中山路五段,339
宜蘭縣宜蘭市中山路三段,298
宜蘭縣宜蘭市中山路二段,258
宜蘭縣羅東鎮興東路,244
宜蘭縣員山鄉員山路一段,237
宜蘭縣羅東鎮興東南路,194
宜蘭縣礁溪鄉礁溪路四段,193
宜蘭縣宜蘭市宜興路一段,192
宜蘭縣羅東鎮中山路三段,191
宜蘭縣宜蘭市進士路,188
宜蘭縣五結鄉五結路三段,185
宜蘭縣宜蘭市舊城南路,169
宜蘭縣宜蘭市校舍路,166
宜蘭縣蘇澳鎮中山路一段,165
宜蘭縣礁溪鄉礁溪路五段,160
宜蘭縣冬山鄉冬山路三段,159
宜蘭縣宜蘭市慈安路,157
宜蘭縣羅東鎮中山路二段,155
宜蘭縣宜蘭市民族路,154
宜蘭縣羅東鎮中正北路,151
宜蘭縣宜蘭市中山路1段,149
宜蘭縣宜蘭市延平路,144
宜蘭縣宜蘭市中山路5段,143
宜蘭縣羅東鎮南門路,140
宜蘭縣羅東鎮中山路四段,135
宜蘭縣冬山鄉冬山路一段,134
宜蘭縣冬山鄉義成路三段,131
宜蘭縣冬山鄉成興路,128
宜蘭縣羅東鎮中正路,126
宜蘭縣宜蘭市中山路3段,126
宜蘭縣五結鄉中正路二段,121
宜蘭縣三星鄉三星路一段,121
宜蘭縣宜蘭市神農路一段,119
宜蘭縣頭城鎮開蘭路,117
宜蘭縣宜蘭市環市東路二段,116
宜蘭縣南澳鄉台9,113
宜蘭縣宜蘭市和睦路,113
宜蘭縣礁溪鄉礁溪路一段,112
宜蘭縣羅東鎮倉前路,112
宜蘭縣羅東鎮中正南路,110
宜蘭縣五結鄉中正路三段,110
宜蘭縣宜蘭市中山路2段,110
宜蘭縣宜蘭市女中路二段,106
宜蘭縣礁溪鄉林尾路,105
宜蘭縣冬山鄉冬山路二段,105
宜蘭縣宜蘭市復興路二段,104
宜蘭縣頭城鎮北宜公路,103
宜蘭縣羅東鎮中華路,100
宜蘭縣宜蘭市民權新路,100
宜蘭縣羅東鎮中山路一段,98
宜蘭縣頭城鎮青雲路二段,97
宜蘭縣羅東鎮光榮路,97
宜蘭縣宜蘭市女中路三段,97
宜蘭縣頭城鎮青雲路三段,96
宜蘭縣宜蘭市光復路,95
宜蘭縣礁溪鄉中山路一段,94
宜蘭縣羅東鎮維揚路,93
宜蘭縣宜蘭市神農路二段,93
宜蘭縣宜蘭市環河路,93
宜蘭縣宜蘭市新民路,92
宜蘭縣礁溪鄉礁溪路三段,92
宜蘭縣宜蘭市民權路二段,91
