road,count
屏東縣麟洛鄉中山路,637
屏東縣屏東市民生路,570
屏東縣屏東市建國路,530
屏東縣屏東市中正路,521
屏東縣恆春鎮恆南路,513
屏東縣屏東市廣東路,504
屏東縣屏東市自由路,479
屏東縣長治鄉德和路,449
屏東縣長治鄉中興路,379
屏東縣屏東市前進里建國路,353
屏東縣內埔鄉老埤村壽比路,327
屏東縣恆春鎮南灣里南灣路,290
屏東縣屏東市忠孝路,289
屏東縣屏東市瑞光里民生路,277
屏東縣鹽埔鄉維新路,276
屏東縣潮州鎮延平路,270
屏東縣東港鎮中正路,269
屏東縣屏東市大連路,236
屏東縣屏東市復興路,234
屏東縣內埔鄉豐田村中正路,224
屏東縣屏東市海豐街,221
屏東縣東港鎮中山路,220
屏東縣潮州鎮太平路,214
屏東縣屏東市勝利路,205
屏東縣恆春鎮墾丁里墾丁路,204
屏東縣屏東市仁愛路,203
屏東縣屏東市中山路,200
屏東縣潮州鎮光春路,199
屏東縣屏東市瑞光里民生東路,194
屏東縣九如鄉九如路二段,194
屏東縣屏東市林森路,194
屏東縣屏東市民生東路,192
屏東縣內埔鄉壽比路,190
屏東縣潮州鎮新生路,186
屏東縣恆春鎮南灣路,185
屏東縣潮州鎮中山路,183
屏東縣崁頂鄉中正路,176
屏東縣林邊鄉中山路,171
屏東縣潮州鎮介壽路,170
屏東縣鹽埔鄉新二村維新路,170
屏東縣長治鄉水源路,165
屏東縣內埔鄉廣濟路,163
屏東縣屏東市和生路二段,163
屏東縣內埔鄉中正路,162
屏東縣枋山鄉台1,161
屏東縣內埔鄉東寧村南寧路,154
屏東縣屏東市復興南路一段,154
屏東縣屏東市和平路,153
屏東縣恆春鎮?公路,150
屏東縣恆春鎮恆公路,149
屏東縣恆春鎮山腳里恆南路,146
屏東縣長治鄉香楊路,145
屏東縣內埔鄉學人路,144
屏東縣屏東市華山里大連路,139
屏東縣枋寮鄉中山路,137
屏東縣內埔鄉美和村學人路,134
屏東縣新園鄉仙吉路,133
屏東縣恆春鎮墾丁路,133
屏東縣潮州鎮台一線,132
屏東縣里,130
屏東縣屏東市橋南里民生路,130
屏東縣屏東市光復路,130
屏東縣東港鎮沿海路,129
屏東縣九如鄉九如路三段,128
屏東縣屏東市公園路,128
屏東縣麟洛鄉民生路,125
屏東縣南州鄉三民路,121
屏東縣潮州鎮朝昇路,120
屏東縣長治鄉長興路,120
屏東縣屏東市中正里中正路,119
屏東縣恆春鎮中正路,118
屏東縣九如鄉東寧路,117
屏東縣鹽埔鄉勝利路,117
屏東縣新園鄉南興路,115
屏東縣潮州鎮四維路,115
屏東縣屏東市和生路一段,114
屏東縣長治鄉南二高平面道路,112
屏東縣內埔鄉內田村廣濟路,112
屏東縣屏東市興樂里公園路,111
屏東縣內埔鄉中林村中林路,111
屏東縣潮州鎮大同路,111
屏東縣長治鄉瑞光路一段,111
屏東縣屏東市三山里海豐街,110
屏東縣屏東市新生里復興南路一段,109
屏東縣九如鄉九如路一段,109
屏東縣長治鄉繁華路,109
屏東縣東港鎮中正路一段,108
屏東縣屏東市民族路,106
屏東縣屏東市和興里忠孝路,105
屏東縣內埔鄉龍潭村昭勝路,104
屏東縣屏東市新生里和生路二段,103
屏東縣屏東市機場北路,102
屏東縣東港鎮船頭路,102
屏東縣屏東市清溪里建國路,101
屏東縣長治鄉復興路,100
屏東縣長治鄉潭頭路,100
屏東縣屏東市豐榮里廣東路,99
屏東縣屏東市中華路,99
屏東縣潮州鎮興隆路,98
屏東縣枋山鄉台1線,98
屏東縣麟洛鄉中正路,95
屏東縣屏東市信義路,95
屏東縣萬丹鄉大昌路,93
屏東縣屏東市仁義里海豐街,93
屏東縣恆春鎮省北路,93
屏東縣屏東市建豐路,93
屏東縣屏東市大連里大連路,92
屏東縣屏東市長春里民生路,92
屏東縣恆春鎮省北路二段,90
屏東縣萬丹鄉萬丹路一段,89
屏東縣內埔鄉內埔村光明路,88
屏東縣內埔鄉南寧路,88
屏東縣內埔鄉光明路,88
屏東縣枋山鄉枋山鄉台一線,86
屏東縣屏東市瑞光路二段,86
屏東縣屏東市香揚巷,86
屏東縣三地門鄉台24線,86
屏東縣竹田鄉台一線,83
屏東縣枋寮鄉台一線,82
屏東縣枋寮鄉台1線,82
屏東縣屏東市潭墘里勝利路,81
屏東縣枋寮鄉台1,81
屏東縣潮州鎮中正路,80
屏東縣屏東市太平里中正路,80
屏東縣屏東市斯文里中正路,80
屏東縣佳冬鄉中山路,80
