road,count
桃園市龜山區萬壽路二段,1202
桃園市桃園區中山路,974
桃園市桃園區中正路,961
桃園市中壢區環中東路,883
桃園市龜山區萬壽路一段,847
桃園市中壢區中正路,672
桃園市桃園區永安路,669
桃園市龜山區文化一路,660
桃園市中壢區新中北路,632
桃園市桃園區春日路,612
桃園市中壢區延平路,537
桃園市大溪區介壽路,490
桃園市中壢區中園路,490
桃園市平鎮區中豐路,473
桃園市中壢區新生路,454
桃園市龜山區文化二路,451
桃園市龜山區山鶯路,417
桃園市桃園區桃鶯路,411
桃園市八德區介壽路二段,401
桃園市中壢區中山路,394
桃園市龜山區長壽路,383
桃園市蘆竹區大竹路,382
桃園市八德區介壽路一段,378
桃園市龜山區振興路,377
桃園市桃園區復興路,375
桃園市八德區中華路,368
桃園市龍潭區中興路,366
桃園市龜山區大同路,364
桃園市中壢區中華路一段,352
桃園市八德區廣福路,351
桃園市龜山區中興路,327
桃園市龜山區忠義路一段,319
桃園市八德區茄明里中華路,318
桃園市蘆竹區南崁路,316
桃園市八德區興豐路,315
桃園市桃園區國際路一段,310
桃園市八德區和平路,310
桃園市中壢區環北路,309
桃園市龍潭區中豐路,309
桃園市蘆竹區國道1號,307
桃園市龍潭區中正路,304
桃園市蘆竹區中正路,303
桃園市桃園區三民路三段,298
桃園市龜山區文化三路,296
桃園市中壢區龍東路,294
桃園市桃園區介壽路,291
桃園市桃園區經國路,287
桃園市中壢區中華路二段,285
桃園市中壢區龍岡路三段,281
桃園市龜山區自強南路,275
桃園市龜山區民生北路一段,273
桃園市桃園區三民路,272
桃園市中壢區中山東路三段,270
桃園市中壢區元化路,268
桃園市龜山區萬壽路2段,266
桃園市桃園區民生路,261
桃園市蘆竹區南崁路二段,261
桃園市龜山區復興一路,260
桃園市八德區建國路,259
桃園市中壢區環中東路二段,259
桃園市中壢區中華路,256
桃園市龜山區忠義路二段,246
桃園市平鎮區平東路,241
桃園市蘆竹區中正北路,236
桃園市中壢區中山東路二段,232
桃園市大園區?林里三民路二段,230
桃園市平鎮區環南路,229
桃園市桃園區中德里國際路一段,228
桃園縣桃園市中山路,226
桃園市桃園區慈文路,226
桃園市桃園區大有路,225
桃園縣桃園市中正路,222
桃園市桃園區大興西路二段,221
桃園市中壢區中北路二段,219
桃園市大溪區康莊路,218
桃園市蘆竹區南山路二段,216
桃園市大園區果林里三民路二段,213
桃園市中壢區南園二路,212
桃園市大溪區仁和路二段,211
桃園市中壢區中北路,209
桃園市蘆竹區文中路一段,208
桃園市蘆竹區南竹路二段,208
桃園市蘆竹區南崁路一段,206
桃園市龜山區東萬壽路,205
桃園市平鎮區金陵路,202
桃園市桃園區富國路,202
桃園市中壢區中山東路,197
桃園市中壢區榮民路,196
桃園市平鎮區中豐路南勢二段,194
桃園市桃園區大興西路三段,194
桃園市八德區長興路,191
桃園市中壢區榮民南路,189
桃園市桃園區大林里桃鶯路,189
桃園市八德區永豐路,188
桃園市中壢區民族路,186
桃園市大溪區員林路一段,186
桃園市中壢區中山東路一段,186
桃園市蘆竹區大新路,186
桃園市平鎮區中豐路山頂段,186
