road,count
花蓮縣花蓮市中山路,1094
花蓮縣花蓮市中正路,931
花蓮縣花蓮市中華路,608
花蓮縣花蓮市林森路,523
花蓮縣花蓮市和平路,368
花蓮縣花蓮市中美路,326
花蓮縣玉里,284
花蓮縣花蓮市府前路,263
花蓮縣富里,208
花蓮縣吉安鄉建國路二段,199
花蓮縣花蓮市民國路,198
花蓮縣花蓮市建國路,190
花蓮縣吉安鄉自強路,169
花蓮縣花蓮市中山路一段,162
花蓮縣花蓮市重慶路,161
花蓮縣花蓮市中央路三段,159
花蓮縣吉安鄉建國路一段,158
花蓮縣花蓮市福建街,154
花蓮縣花蓮市尚志路,148
花蓮縣吉安鄉海岸路,145
花蓮縣吉安鄉中華路二段,144
花蓮縣吉安鄉中央路三段,137
花蓮縣花蓮市中原路,131
花蓮縣花蓮市新興路,130
花蓮縣花蓮市明禮路,127
花蓮縣壽豐鄉志學村中正路,125
花蓮縣吉安鄉中山路三段,121
花蓮縣花蓮市中央路四段,119
花蓮縣花蓮市商校街,118
花蓮縣吉安鄉北昌村建國路一段,118
花蓮縣花蓮市建林街,110
花蓮縣花蓮市博愛街,107
花蓮縣秀林鄉台8,100
花蓮縣花蓮市國聯一路,100
花蓮縣花蓮市富安路,99
花蓮縣吉安鄉南濱路一段,99
花蓮縣花蓮市民權路,98
花蓮縣鳳林鎮台9,94
花蓮縣花蓮市國聯五路,94
花蓮縣吉安鄉中正路一段,93
花蓮縣花蓮市中興路,90
花蓮縣花蓮市化道路,88
花蓮縣新城鄉嘉里村嘉里路,86
花蓮縣秀林鄉台8線,85
花蓮縣吉安鄉太昌路,82
花蓮縣花蓮市三民街,78
花蓮縣花蓮市進豐街,77
花蓮縣新城鄉北埔村北埔路,77
花蓮縣花蓮市南濱路,77
花蓮縣吉安鄉中央路二段,76
花蓮縣花蓮市德安一街,74
花蓮縣花蓮市富國路,72
花蓮縣吉安鄉北昌村自強路,71
花蓮縣豐濱鄉台11線,68
花蓮縣花蓮市華西路,66
花蓮縣新城鄉北埔村光復路,66
花蓮縣豐濱鄉台11,65
花蓮縣花蓮市國聯二路,65
花蓮縣秀林鄉台9線,63
花蓮縣吉安鄉和平路一段,62
花蓮縣花蓮市海岸路,61
花蓮縣吉安鄉北安街,60
花蓮縣吉安鄉勝安村自強路,60
花蓮縣新城鄉台9線,60
花蓮縣花蓮市南京街,60
花蓮縣瑞穗鄉台9,59
花蓮縣花蓮市仁愛街,58
花蓮縣花蓮市國興五街,57
花蓮縣花蓮市公園路,57
花蓮縣吉安鄉中山路二段,57
花蓮縣玉里鎮台9線,56
花蓮縣吉安鄉吉興路一段,55
花蓮縣新城鄉嘉新村嘉新路,55
花蓮縣花蓮市自由街,54
花蓮縣花蓮市大同街,53
花蓮縣花蓮市富祥街,52
花蓮縣花蓮市順興路,52
花蓮縣吉安鄉北昌村中央路三段,52
花蓮縣玉里鎮中華路,51
花蓮縣花蓮市中福路,51
花蓮縣吉安鄉吉安路二段,51
花蓮縣新城鄉嘉里村嘉里三街,50
花蓮縣光復鄉台9,50
花蓮縣吉安鄉中正路二段,50
花蓮縣吉安鄉永安村建國路二段,50
花蓮縣花蓮市延平街,47
花蓮縣富里鄉台9線,47
花蓮縣新城鄉台9,46
花蓮縣花蓮市德安二街,46
花蓮縣花蓮市國盛二街,46
花蓮縣吉安鄉吉豐路三段,46
花蓮縣秀林鄉台9,45
花蓮縣花蓮市軒轅路,45
花蓮縣花蓮市節約街,45
花蓮縣花蓮市廣東街,45
花蓮縣吉安鄉明仁二街,44
花蓮縣花蓮市國富十街,43
花蓮縣花蓮市富強路,43
花蓮縣吉安鄉宜昌村中華路二段,42
花蓮縣花蓮市明義街,42
花蓮縣花蓮市復興街,42
