road,count
苗栗縣頭份市中華路,898
苗栗縣苗栗市中正路,691
苗栗縣頭份市中央路,501
苗栗縣苗栗市中山路,409
苗栗縣頭份市中正路,398
苗栗縣苗栗市國華路,325
苗栗縣苗栗市為公路,323
苗栗縣苗栗市英才路,262
苗栗縣頭份市自強路,260
苗栗縣苗栗市中華路,227
苗栗縣苗栗市至公路,218
苗栗縣苗栗市經國路,201
苗栗縣苑裡鎮苗140線,193
苗栗縣苗栗市台13線,181
苗栗縣苑裡鎮中山路,153
苗栗縣頭份市中興路,126
苗栗縣竹南鎮大埔里公義路,124
苗栗縣苗栗市府前路,118
苗栗縣苗栗市光復路,115
苗栗縣竹南鎮公義路,114
苗栗縣頭份市中正一路,114
苗栗縣苑裡鎮苗47線,113
苗栗縣頭份市信義路,107
苗栗縣苗栗市聯大路,106
苗栗縣頭份市信東路,105
苗栗縣通霄鎮台1,100
苗栗縣頭份市尖豐路,99
苗栗縣後龍鎮中華路,98
苗栗縣竹南鎮照南里光復路,97
苗栗縣苗栗市玉清路,94
苗栗縣竹南鎮博愛街,93
苗栗縣苗栗市台6線,91
苗栗縣竹南鎮光復路,91
苗栗縣後龍鎮台61線,90
苗栗縣苗栗市文發路,89
苗栗縣頭份鎮建國路,89
苗栗縣竹南鎮頂埔里中華路,86
苗栗縣頭份市東民路,86
苗栗縣頭份市建國路,84
苗栗縣苗栗市民族路,83
苗栗縣竹南鎮山佳里龍山路三段,81
苗栗縣苗栗市恭敬路,80
苗栗縣竹南鎮山佳里公義路,77
苗栗縣頭份市永貞路,76
苗栗縣苗栗市自治路,75
苗栗縣竹南鎮佳興里光復路,73
苗栗縣銅鑼鄉中正路,71
苗栗縣頭份鎮信義路,70
苗栗縣頭份鎮信東路,69
苗栗縣竹南鎮公義里公義路,69
苗栗縣後龍鎮中山路,69
苗栗縣竹南鎮新南里公園路,67
苗栗縣竹南鎮正南里中正路,67
苗栗縣三義鄉國道1號,66
苗栗縣通霄鎮,65
苗栗縣頭份市民族路,65
苗栗縣通霄鎮台1線,64
苗栗縣頭份市八德二路,64
苗栗縣頭份市中正二路,64
苗栗縣頭份鎮中正一路,61
苗栗縣通霄鎮台一線,61
苗栗縣頭份市水源路,61
苗栗縣苗栗市北苗里英才路,60
苗栗縣頭份鎮民族路,60
苗栗縣頭份市八德一路,60
苗栗縣公館鄉大同路,59
苗栗縣竹南鎮佳興里環市路三段,58
苗栗縣銅鑼鄉台13線,58
苗栗縣竹南鎮中正路,58
苗栗縣竹南鎮台61線,56
苗栗縣苗栗市新東路,55
苗栗縣竹南鎮大厝里真如路,52
苗栗縣苑裡鎮苗121線,52
苗栗縣竹南鎮大埔里仁愛路,52
苗栗縣三灣鄉台3,52
苗栗縣苑裡鎮世界路,52
苗栗縣苗栗市福麗里至公路,52
苗栗縣通霄鎮中山路,52
苗栗縣竹南鎮營盤里博愛街,51
苗栗縣竹南鎮明勝路,50
苗栗縣頭份鎮東民路,50
苗栗縣造橋鄉台1,50
苗栗縣苗栗市台13,50
苗栗縣苗栗市為民街,49
苗栗縣頭份市中央,49
苗栗縣頭份市建國路二段,48
苗栗縣竹南鎮新南里崁頂街,47
苗栗縣竹南鎮中華路,47
苗栗縣造橋鄉台13甲線,47
苗栗縣竹南鎮營盤里延平路,47
苗栗縣苗栗市建中街,47
苗栗縣銅鑼鄉,47
苗栗縣苗栗市新東街,47
苗栗縣頭份市自強路二段,47
苗栗縣竹南鎮龍?里龍江街,47
苗栗縣頭份鎮水源路,46
苗栗縣苑裡鎮天下路,46
苗栗縣竹南鎮大厝里全天路,46
苗栗縣苗栗市府東路,46
苗栗縣竹南鎮龍鳳里龍江街,46
苗栗縣苗栗市正發路,45
苗栗縣苗栗市嘉盛里為公路,45
苗栗縣頭份市忠孝一路,45
苗栗縣頭份鎮八德一路,44
苗栗縣竹南鎮國道3號,44
苗栗縣竹南鎮龍山里龍山路二段,43
苗栗縣獅潭鄉台3,43
苗栗縣竹南鎮新南里永貞路,42
苗栗縣竹南鎮新南里維新街,42
苗栗縣苑裡鎮介壽路,42
苗栗縣頭屋鄉頭屋村尖豐路,42
苗栗縣竹南鎮大厝里環市路一段,42
苗栗縣頭份市銀河路,42
苗栗縣三義鄉中正路,41
苗栗縣竹南鎮竹南里博愛街,41
苗栗縣通霄鎮通西里中山路,41
苗栗縣頭份市興隆路,41
苗栗縣三義鄉台13線,40
苗栗縣竹南鎮照南里博愛街,40
苗栗縣竹南鎮大厝里中正路,40
苗栗縣頭份市中正,40
苗栗縣頭份鎮八德二路,39
苗栗縣苗栗市清華里為公路,39
苗栗縣竹南鎮大厝里開元路,39
苗栗縣苗栗市忠貞路,39
苗栗縣苗栗市忠孝路,39
苗栗縣頭份市和平路,39
苗栗縣公館鄉台六線,38
苗栗縣苗栗市玉維路,38
苗栗縣銅鑼鄉國道1號,38
苗栗縣竹南鎮仁愛路,38
苗栗縣頭份市顯會路,38
苗栗縣頭份鎮永貞路,37
苗栗縣竹南鎮西濱公路,37
苗栗縣苗栗市中苗里中正路,37
苗栗縣頭份市中華,37
苗栗縣頭份鎮中正二路,36
苗栗縣竹南鎮環市路三段,36
苗栗縣苗栗市復興路二段,36
苗栗縣頭份市文化街,36
苗栗縣頭份鎮中山路,35
苗栗縣竹南鎮龍鳳里龍山路一段,35
苗栗縣銅鑼鄉銅鑼村中正路,35
苗栗縣頭份鎮中興路,35
苗栗縣通霄鎮中正路,35
苗栗縣後龍鎮高鐵六路,35
苗栗縣竹南鎮天文里龍山路二段,35
苗栗縣頭屋鄉尖豐路,35
苗栗縣通霄鎮苗128線,34
苗栗縣大湖鄉台3,34
苗栗縣竹南鎮照南里自由街,34
苗栗縣通霄鎮國道3號,34
苗栗縣苗栗市新庄街,34
苗栗縣竹南鎮科專七路,33
苗栗縣苗栗市福麗里國華路,33
苗栗縣竹南鎮台61,33
苗栗縣苑裡鎮苗47-1線,33
苗栗縣通霄鎮通南里中山路,33
苗栗縣頭份鎮忠孝一路,32
苗栗縣竹南鎮維新路,32
苗栗縣竹南鎮開元路,32
苗栗縣苑裡鎮客庄里,32
苗栗縣頭份市中山路,32
苗栗縣頭份市正興路,32
苗栗縣竹南鎮山佳里龍山路,31
苗栗縣竹南鎮正南里光復路,31
苗栗縣苗栗市,31
苗栗縣竹南鎮龍山路三段,31
苗栗縣苗栗市水源里中正路,31
苗栗縣竹南鎮營盤里建國路,31
苗栗縣竹南鎮竹興里博愛街,31
苗栗縣後龍鎮台一線,31
苗栗縣大湖鄉台3線,31
苗栗縣苗栗市高苗里中山路,31
苗栗縣頭份鎮銀河路,30
苗栗縣竹南鎮照南里立達街,30
苗栗縣苑裡鎮房裡里,30
苗栗縣竹南鎮山佳里光復路,30
苗栗縣頭份市光華北路,30
苗栗縣頭份市中正三路,30
苗栗縣頭份鎮光華北路,29
苗栗縣卓蘭鎮中山路,29
苗栗縣大湖鄉台三線,29
苗栗縣苗栗市勝利路,29
苗栗縣苑裡鎮苑北里中山路,29
苗栗縣苗栗市恭敬里中正路,29
苗栗縣苗栗市中華東街,29
苗栗縣公館鄉國道1號,29
