road,count
金門縣金城鎮民權路,317
金門縣金城鎮民生路,202
金門縣金寧鄉伯玉路二段,130
金門縣金寧鄉伯玉路一段,97
金門縣金寧鄉環島北路一段,83
金門縣金湖鎮環島南路四段,80
金門縣金城鎮民族路,78
金門縣金城鎮環島北路一段,78
金門縣金城鎮環島西路一段,71
金門縣金城鎮伯玉路一段,71
金門縣金寧鄉環島西路二段,68
金門縣金城鎮西海路三段,66
金門縣金寧鄉桃園路,59
金門縣金湖鎮黃海路,54
金門縣金湖鎮市港路,49
金門縣金寧鄉頂林路,48
金門縣金城鎮珠浦西路,45
金門縣金湖鎮太湖路一段,44
金門縣金寧鄉環島北路二段,43
金門縣金城鎮光前路,42
金門縣金寧鄉大學路,38
金門縣金城鎮中興路,32
金門縣金湖鎮瓊徑路,31
金門縣金城鎮北堤路,30
金門縣金湖鎮太湖路二段,30
金門縣金沙鎮環島東路一段,28
金門縣金寧鄉林湖路,27
金門縣金寧鄉伯玉路1段,24
金門縣金湖鎮環島南路三段,22
金門縣金城鎮西海路一段,22
金門縣金城鎮金山路,21
金門縣金湖鎮士校路,21
金門縣金湖鎮伯玉路四段,21
金門縣金沙鎮環島北路三段,20
金門縣金城鎮環島西路二段,20
金門縣金沙鎮高陽路,19
金門縣金寧鄉伯玉路三段,19
金門縣金寧鄉伯玉路2段,19
金門縣金城鎮環島北路1段,18
金門縣金湖鎮環島北路三段,17
金門縣金寧鄉慈湖路一段,17
金門縣金城鎮環島西路1段,17
金門縣金寧鄉環島北路1段,17
金門縣金城鎮西海路二段,16
金門縣金湖鎮環島南路五段,16
金門縣金沙鎮環島北路四段,16
金門縣金城鎮伯玉路1段,16
金門縣金寧鄉瓊安路,14
金門縣金湖鎮經武路,14
金門縣金寧鄉林堡路,14
金門縣金湖鎮太湖路三段,14
金門縣金城鎮西門里民權路,13
金門縣金沙鎮陽沙路,13
金門縣金寧鄉環島西路2段,13
金門縣金湖鎮環島南路4段,13
金門縣金城鎮珠水路,12
金門縣金湖鎮新湖里環島南路四段,12
金門縣金湖鎮伯玉路三段,12
金門縣金沙鎮沙青路,12
金門縣金湖鎮太湖路2段,12
金門縣金湖鎮新市里復興路,11
金門縣金湖鎮伯玉路五段,11
金門縣金湖鎮新湖里市港路,11
金門縣金寧鄉盤果路,11
金門縣金沙鎮環島東路二段,11
金門縣金城鎮北門里民生路,10
金門縣金城鎮珠浦東路,10
金門縣金城鎮西海路3段,10
金門縣金湖鎮三多路,9
金門縣金城鎮珠浦北路,9
金門縣金湖鎮林森路,8
金門縣金寧鄉埔後191號前路,8
金門縣烈嶼鄉九井路,8
金門縣金城鎮泰仰路,8
金門縣金湖鎮自強路,8
金門縣金城鎮東門里北堤路,7
金門縣金寧鄉盤山村林堡路,7
金門縣金城鎮珠浦南路,7
金門縣金湖鎮環島東路五段,7
金門縣金湖鎮復興路,7
金門縣金寧鄉埔後65號前路,7
金門縣金寧鄉環島南路一段,7
金門縣金城鎮莒光路,7
金門縣金寧鄉慈湖路三段,6
金門縣金湖鎮瓊林里環島北路三段,6
金門縣金寧鄉,6
金門縣金湖鎮新市里太湖路二段,6
金門縣金城鎮東門圓環,5
金門縣金湖鎮環島北路二段,5
金門縣金湖鎮正義里環島南路四段,5
金門縣金寧鄉慈湖路,5
金門縣金城鎮東門里環島西路一段,5
金門縣金寧鄉盤山村大學路,5
金門縣金湖鎮四維路,5
金門縣金湖鎮瓊義路,5
金門縣金湖鎮山外里黃海路,5
金門縣金城鎮環島北路,5
金門縣金寧鄉慈湖路二段,5
金門縣金湖鎮伯玉路3段,5
金門縣金湖鎮太湖路1段,5
金門縣金寧鄉環島北路2段,5
金門縣金寧鄉榜林村伯玉路一段,4
金門縣金湖鎮新湖里太湖路一段,4
金門縣金寧鄉伯玉路,4
金門縣金沙鎮光前里環島東路一段,4
金門縣金湖鎮環島南路二段,4
金門縣金湖鎮新市里中正路,4
金門縣金城鎮南門里民權路,4
金門縣金沙鎮環島東路,4
金門縣金寧鄉埔後70-8號旁路,4
金門縣金城鎮西門里珠浦西路,4
金門縣金湖鎮環島北路,4
金門縣金寧鄉埔後03286號路,4
金門縣金沙鎮蘭洋路,4
金門縣金湖鎮環島南路3段,4
金門縣金沙鎮環島北路4段,4
金門縣金寧鄉盤山村伯玉路二段,3
金門縣金沙鎮五福街,3
金門縣金寧鄉盤山村環島北路二段,3
金門縣金城鎮南門里民族路,3
金門縣金城鎮賢庵里西海路三段,3
金門縣金寧鄉寧湖路,3
金門縣金湖鎮環島東路四段,3
金門縣金湖鎮新市里太湖路一段,3
金門縣金城鎮東門里伯玉路一段,3
金門縣金城鎮南門里西海路三段,3
金門縣金湖鎮山外里士校路,3
金門縣金湖鎮金港路,3
金門縣金沙鎮成功路,3
金門縣金湖鎮南機路,3
金門縣金湖鎮中興路,3
金門縣烈嶼鄉八青路,3
金門縣金沙鎮環島東路三段,3
金門縣金湖鎮中山路,3
金門縣金湖鎮環中路,3
金門縣金湖鎮新湖里環島南路五段,3
金門縣烈嶼鄉,3
金門縣金沙鎮光前里環島東路二段,3
金門縣金湖鎮瓊林里伯玉路五段,3
金門縣金湖鎮新市里黃海路,3
金門縣金寧鄉頂埔下209號前路,3
金門縣金寧鄉頂埔下209號旁路,3
金門縣金寧鄉慈湖路2段,3
金門縣金湖鎮新市里太湖路2段,3
金門縣金湖鎮伯玉路4段,3
金門縣金湖鎮伯玉路5段,3
金門縣金寧鄉埔後65號,3
金門縣金沙鎮環島東路1段,3
金門縣金沙鎮環島北路3段,3
金門縣金寧鄉榜林圓環,3
金門縣金城鎮西門里環島北路,2
金門縣金城鎮北門里中興路,2
金門縣金湖鎮新市圓環,2
金門縣金沙鎮光前里陽沙路,2
金門縣金寧鄉盤山村伯玉路一段,2
金門縣金城鎮西門里民生路,2
金門縣金寧鄉湖埔村環島西路二段,2
金門縣金城鎮西門里環島西路二段,2
金門縣金寧鄉盤山村環島北路一段,2
金門縣金寧鄉埔後活動中心前路,2
金門縣金寧鄉湖埔村慈湖路二段,2
金門縣金城鎮富康一村8巷1號旁路,2
金門縣金沙鎮光華路一段,2
金門縣金湖鎮環島東路三段,2
金門縣金沙鎮三民路,2
金門縣金城鎮浯江路,2
金門縣金城鎮延平路,2
金門縣金湖鎮,2
金門縣金寧鄉頂埔下39號旁路,2
金門縣金城鎮東門里珠浦東路,2
金門縣金寧鄉安岐37-6號,2
金門縣金寧鄉埔後191號旁路,2
金門縣金寧鄉埔後產業道路,2
金門縣金寧鄉下埔下90-3號前路,2
金門縣金城鎮金城新莊1巷1號旁路,2
金門縣金寧鄉榜林村伯玉路二段,2
金門縣金寧鄉埔後191號,2
金門縣金寧鄉下埔下90-3號,2
金門縣金寧鄉埔後212號前路,2
金門縣金沙鎮光前里光華路,2
金門縣金城鎮賢庵里泰仰路,2
金門縣金湖鎮瓊林里瓊徑路,2
金門縣金寧鄉環島北路,2
金門縣金城鎮賢城路,2
金門縣金寧鄉埔後135號旁路,2
金門縣金城鎮前水頭6-1號,2
金門縣金寧鄉堡山路,2
金門縣金城鎮鎮公所後方,2
金門縣金沙鎮德明路,2
金門縣金寧鄉頂埔下209號,2
金門縣金寧鄉安美村頂林路,2
金門縣金湖鎮瓊林里伯玉路三段,2
金門縣金湖鎮瓊林里中山路,2
金門縣金沙鎮何斗里環島北路四段,2
金門縣金城鎮林湖路,2
金門縣金沙鎮汶沙里環島東路一段,2
金門縣金寧鄉湖埔村,2
金門縣金寧鄉埔後115號旁路,2
金門縣金湖鎮新市里市港路,2
金門縣金寧鄉埔後社區活動中心前路,2
金門縣金寧鄉仁愛新村,2
金門縣金湖鎮正義里瓊徑路,2
金門縣金城鎮金水里西海路1段,2
金門縣金寧鄉伯玉路3段,2
金門縣烈嶼鄉林湖村,2
金門縣金城鎮西海路2段,2
金門縣金城鎮西海路1段,2
金門縣金城鎮民權民生路,2
金門縣金湖鎮市港路66號前路段,2
金門縣金城鎮西門里環島北路一段,1
金門縣金湖鎮信義新村,1
金門縣金寧鄉埔后191號前路,1
金門縣金城鎮環島北路29號前路段,1
金門縣金寧鄉榜林圓環內路段,1
金門縣金城鎮賢庵里環島西路一段,1
金門縣金寧鄉頂埔下39號前路,1
金門縣金城鎮賢聚1之2號前路段,1
金門縣金湖鎮金湖鎮公所旁路段,1
金門縣烈嶼鄉庵頂往西宅09438號路燈桿前路段,1
金門縣金湖鎮信義新村94號旁巷,1
金門縣金沙鎮劉澳21號,1
金門縣烈嶼鄉后宅往西方09393號路燈桿前路段,1
金門縣金城鎮珠沙里金山路,1
金門縣金寧鄉榜林圓環內,1
金門縣金寧鄉東坑6號,1
金門縣金城鎮東門里西海路三段,1
金門縣金城鎮西門里莒光路,1
金門縣金沙鎮忠孝新村51-1號前路,1
金門縣金湖鎮光武路,1
金門縣金寧鄉埔後供水站,1
金門縣金寧鄉「金寶來飯店」前路,1
金門縣金湖鎮武德新莊紅龍餐?旁路,1
金門縣金沙鎮國中路,1
金門縣烈嶼鄉紅山段,1
金門縣金城鎮東門里模範街,1
金門縣金沙鎮浦華路,1
金門縣金沙鎮環中路,1
金門縣金寧鄉金寶來飯店前路,1
金門縣烈嶼鄉南塘往青岐路段,1
金門縣金城鎮富康一村1巷1號前路,1
金門縣金寧鄉環島南路二段,1
金門縣金寧鄉西堡寶靈殿前,1
