road,count
高雄市三民區民族一路,2545
高雄市三民區九如一路,1531
高雄市仁武區鳳仁路,1427
高雄市前鎮區中山四路,1316
高雄市楠梓區德民路,1313
高雄市左營區翠華路,1228
高雄市左營區民族一路,1207
高雄市楠梓區高楠公路,1144
高雄市三民區大順二路,1141
高雄市鳳山區五甲一路,1122
高雄市新興區中山一路,1103
高雄市鳳山區中山東路,1032
高雄市三民區建工路,1032
高雄市苓雅區中正一路,1023
高雄市苓雅區建國一路,990
高雄市鼓山區中華一路,982
高雄市三民區博愛一路,951
高雄市鳳山區青年路2段,932
高雄市鳳山區五甲二路,920
高雄市大寮區鳳林三路,881
高雄市橋頭區,878
高雄市林園區,844
高雄市大社區中山路,830
高雄市前鎮區中山三路,789
高雄市左營區左營大路,761
高雄市左營區博愛二路,746
高雄市左營區華夏路,746
高雄市鳥松區本館路,740
高雄市三民區鼎中路,723
高雄市楠梓區加昌路,719
高雄市前金區,713
高雄市前鎮區瑞隆路,699
高雄市前鎮區中華五路,698
高雄市三民區覺民路,675
高雄市三民區九如二路,665
高雄市仁武區高楠公路,656
高雄市仁武區仁雄路,655
高雄市楠梓區後昌路,655
高雄市三民區澄清路,654
高雄市燕巢區,650
高雄市鳳山區經武路,649
高雄市鳥松區中正路,648
高雄市左營區博愛三路,647
高雄市岡山區岡山路,643
高雄市三民區中華二路,628
高雄市小港區中山四路,627
高雄市旗山區,624
高雄市鳳山區光遠路,623
高雄市前金區中華三路,582
高雄市苓雅區三多一路,579
高雄市湖內區中山路1段,573
高雄市楠梓區旗楠路,570
高雄市鳳山區新富路,569
高雄市苓雅區三多二路,562
高雄市仁武區澄觀路,559
高雄市橋頭區成功北路,556
高雄市前鎮區一心一路,554
高雄市鳳山區鳳松路,548
高雄市大樹區,547
高雄市左營區自由二路,537
高雄市小港區漢民路,526
高雄市三民區大昌二路,525
高雄市前鎮區凱旋四路,514
高雄市鳳山區鳳頂路,513
高雄市苓雅區大順三路,511
高雄市鳳山區博愛路,508
高雄市三民區建國二路,505
高雄市大寮區鳳林四路,502
高雄市大寮區鳳屏一路,502
高雄市小港區沿海二路,500
高雄市三民區大昌一路,497
高雄市大寮區鳳屏二路,488
高雄市鳳山區中山西路,487
高雄市岡山區中山南路,487
高雄市三民區明誠一路,476
高雄市三民區建國三路,463
高雄市鼓山區九如四路,459
高雄市鳥松區大埤路,457
高雄市橋頭區成功南路,454
高雄市鳳山區建國路3段,453
高雄市湖內區,452
高雄市苓雅區中山二路,448
高雄市鳥松區神農路,444
高雄市三民區鼎山街,441
高雄市鳳山區南京路,435
高雄市大寮區大寮路,434
高雄市楠梓區楠梓新路,430
高雄市新興區中正三路,424
高雄市左營區軍校路,423
高雄市左營區自由三路,416
高雄市鳥松區美山路,415
高雄市前鎮區新生路,415
高雄市小港區沿海一路,411
高雄市三民區自由一路,406
高雄市鼓山區博愛二路,404
高雄市三民區義華路,400
高雄市大寮區萬丹路,399
高雄市鹽埕區,394
高雄市大寮區鳳林二路,392
高雄市仁武區八德南路,391
高雄市岡山區岡山北路,389
高雄市鳳山區自由路,382
高雄市前鎮區成功二路,379
高雄市左營區高鐵路,376
高雄市鳳山區五甲三路,374
高雄市岡山區中山北路,373
高雄市小港區高鳳路,372
高雄市苓雅區中華四路,368
高雄市鳳山區國泰路2段,367
高雄市鳳山區中山路,367
高雄市苓雅區四維二路,367
高雄市三民區十全一路,367
高雄市新興區五福二路,366
高雄市新興區七賢一路,366
高雄市楠梓區軍校路,363
高雄市新興區民族二路,362
高雄市左營區富國路,360
高雄市楠梓區左楠路,357
高雄市小港區沿海三路,352
高雄市前鎮區一心二路,351
高雄市左營區裕誠路,349
高雄市鳳山區建國路1段,348
高雄市前鎮區中山二路,343
高雄市梓官區,342
高雄市苓雅區四維三路,335
高雄市三民區鼎力路,335
高雄市美濃區,334
高雄市鳳山區澄清路,334
高雄市仁武區水管路,333
高雄市小港區中安路,328
高雄市鼓山區裕誠路,324
高雄市小港區宏平路,322
高雄市旗山區延平一路,321
高雄市三民區建興路,318
高雄市三民區大豐二路,317
高雄市鼓山區華榮路,314
高雄市鳳山區文衡路,313
高雄市鳳山區建國路2段,313
高雄市苓雅區五福一路,310
高雄市左營區大中二路,310
高雄市三民區建國一路,307
高雄市大社區旗楠路,307
高雄市楠梓區德賢路,305
高雄市阿蓮區,304
高雄市新興區民生一路,304
高雄市鳳山區青年路1段,299
高雄市大社區三民路,295
高雄市鹽埕區五福四路,295
高雄市鳳山區鳳林路,290
高雄市大社區中正路,289
高雄市楠梓區右昌街,287
高雄市前鎮區翠亨北路,285
高雄市三民區天祥一路,285
高雄市大寮區鳳林一路,284
高雄市楠梓區藍昌路,280
高雄市前鎮區復興三路,279
高雄市三民區陽明路,278
高雄市鼓山區鼓山三路,277
高雄市新興區六合一路,275
高雄市左營區富民路,275
高雄市林園區林園北路,271
高雄市鼓山區鼓山二路,269
高雄市鳳山區南華一路,269
